cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17484894,57992,Farm and Garden Composting Facility - Surface,2,20467,"Soil Strength (AASHTO Group Index, 0-50cm)",1,0.542,Low strength,0.542,Low strength,0.542,Low strength,0.542,Low strength,0,0,0,1555061180
17484894,57992,Farm and Garden Composting Facility - Surface,3,20487,Precipitation,1,0.012,Low precipitation,0.04,Low precipitation,0.04,Low precipitation,0.043,Low precipitation,0,0,0,1555061181
17484894,351,FOR - Construction Limitations for Haul Roads/Log Landings,0,351,FOR - Construction Limitations for Haul Roads/Log Landings,0,0.5,Moderate,0.5,Moderate,0.5,Moderate,0.5,Moderate,1,1,0,1555061182
17484894,351,FOR - Construction Limitations for Haul Roads/Log Landings,1,531,Strength Limitation (1),1,0.5,Low strength,0.5,Low strength,0.5,Low strength,0.5,Low strength,1,1,0,1555061183
17484894,351,FOR - Construction Limitations for Haul Roads/Log Landings,2,23660,Dust PM10 and PM2.5 Generation,1,0.111,Dusty,0.111,Dusty,0.111,Dusty,0.111,Dusty,0,0,0,1555061184
17484894,670,FOR - Hand Planting Suitability,0,670,FOR - Hand Planting Suitability,0,0,Well suited,0,Well suited,0,Well suited,0,Well suited,0,0,0,1555061185
17484894,559,FOR - Harvest Equipment Operability,0,559,FOR - Harvest Equipment Operability,0,0.5,Moderately suited,0.5,Moderately suited,0.5,Moderately suited,0.5,Moderately suited,1,1,0,1555061186
17484894,559,FOR - Harvest Equipment Operability,1,329,Strength Limitation (2),1,0.5,Low strength,0.5,Low strength,0.5,Low strength,0.5,Low strength,1,1,0,1555061187
17484894,559,FOR - Harvest Equipment Operability,2,23660,Dust PM10 and PM2.5 Generation,1,0.111,Dusty,0.111,Dusty,0.111,Dusty,0.111,Dusty,0,0,0,1555061188
17484894,348,FOR - Log Landing Suitability,0,348,FOR - Log Landing Suitability,0,0.5,Moderately suited,1,Poorly suited,1,Poorly suited,1,Poorly suited,1,1,0,1555061189
17484894,348,FOR - Log Landing Suitability,1,335,Wetness Limitation (1),1,0.5,Wetness,1,Wetness,1,Wetness,1,Wetness,0,0,0,1555061190
17484894,348,FOR - Log Landing Suitability,2,329,Strength Limitation (2),1,0.5,Low strength,0.5,Low strength,0.5,Low strength,0.5,Low strength,1,1,0,1555061191
17484894,348,FOR - Log Landing Suitability,3,23660,Dust PM10 and PM2.5 Generation,1,0.111,Dusty,0.111,Dusty,0.111,Dusty,0.111,Dusty,0,0,0,1555061192
17484894,63742,FOR - Mechanical Planting Suitability,0,63742,FOR - Mechanical Planting Suitability,0,0,Well suited,0,Well suited,0,Well suited,0,Well suited,0,0,0,1555061193
17484894,63743,FOR - Mechanical Site Preparation (Deep),0,63743,FOR - Mechanical Site Preparation (Deep),0,0,Well suited,0,Well suited,0,Well suited,0,Well suited,0,0,0,1555061194
17484894,63744,FOR - Mechanical Site Preparation (Surface),0,63744,FOR - Mechanical Site Preparation (Surface),0,0,Well suited,0,Well suited,0,Well suited,0,Well suited,0,0,0,1555061195
17484894,63745,FOR - Potential Erosion Hazard (Off-Road/Off-Trail),0,63745,FOR - Potential Erosion Hazard (Off-Road/Off-Trail),0,0,Slight,0,Slight,0,Slight,0,Slight,0,0,0,1555061196
17484894,330,FOR - Potential Erosion Hazard (Road/Trail),0,330,FOR - Potential Erosion Hazard (Road/Trail),0,0,Slight,0,Slight,0,Slight,0,Slight,0,0,0,1555061197
17484894,10458,FOR - Potential Fire Damage Hazard,0,10458,FOR - Potential Fire Damage Hazard,0,0,Low,0.5,Moderate,0.5,Moderate,0.5,Moderate,0,0,0,1555061198
17484894,10458,FOR - Potential Fire Damage Hazard,1,25158,"Texture/Fragment Limitation (2), Revised",1,0,Texture/rock fragments,0.5,Texture/rock fragments,0.5,Texture/rock fragments,0.5,Texture/rock fragments,0,0,0,1555061199
17484894,10599,FOR - Potential Seedling Mortality,0,10599,FOR - Potential Seedling Mortality,0,0,Low,1,High,1,High,1,High,0,1,0,1555061200
17484894,10599,FOR - Potential Seedling Mortality,1,10536,Wetness Limitation (7),1,0,Wetness,1,Wetness,1,Wetness,1,Wetness,0,1,0,1555061201
17484894,297,FOR - Road Suitability (Natural Surface),0,297,FOR - Road Suitability (Natural Surface),0,0.5,Moderately suited,1,Poorly suited,1,Poorly suited,1,Poorly suited,1,1,0,1555061202
17484894,297,FOR - Road Suitability (Natural Surface),1,335,Wetness Limitation (1),1,0.5,Wetness,1,Wetness,1,Wetness,1,Wetness,0,0,0,1555061203
17484894,297,FOR - Road Suitability (Natural Surface),2,329,Strength Limitation (2),1,0.5,Low strength,0.5,Low strength,0.5,Low strength,0.5,Low strength,1,1,0,1555061204
